,terminalId,terminalNm,city
599,NAI2537614,가두덕,강원도
600,NAI2537615,간촌,강원도
601,NAI2537616,새추,강원도
602,NAI2537617,반정리,강원도
603,NAI2537618,신1리,강원도
604,NAI2537802,마지2리,강원도
605,NAI2537901,대상리,강원도
606,NAI2537902,연화사,강원도
607,NAI2538001,수리재,강원도
608,NAI2538003,회동2리,강원도
609,NAI2538101,평안1리,강원도
610,NAI2538301,한탄,강원도
611,NAI2538401,미탄,강원도
612,NAI2538402,백룡동굴,강원도
613,NAI2538404,마하,강원도
614,NAI2538405,기화,강원도
615,NAI2541901,주문진,강원도
616,NAI2543101,연곡,강원도
617,NAI2543801,용연입구,강원도
618,NAI2544001,아산병원(강릉),강원도
619,NAI2551901,강릉시외터미널,강원도
620,NAI2563101,정동진,강원도
621,NAI2563301,노양골,강원도
622,NAI2564001,삽당령,강원도
623,NAI2564101,왕산,강원도
624,NAI2564301,송현리,강원도
625,NAI2564401,고단,강원도
626,NAI2570801,대진,강원도
627,NAI2573501,동해,강원도
628,NAI2590002,토산,강원도
629,NAI2590003,덕암,강원도
630,NAI2590004,분교,강원도
631,NAI2590101,광동,강원도
632,NAI2590102,번천,강원도
633,NAI2590201,역둔,강원도
634,NAI2590202,어리,강원도
635,NAI2590302,저수지,강원도
636,NAI2590303,삼거리,강원도
637,NAI2590304,상사전,강원도
638,NAI2590401,미로,강원도
639,NAI2590402,하장,강원도
640,NAI2590403,하거노,강원도
641,NAI2590404,도마평,강원도
642,NAI2590501,상정,강원도
643,NAI2590502,상거노,강원도
644,NAI2590503,하정,강원도
645,NAI2590504,천기,강원도
646,NAI2590601,도경,강원도
647,NAI2590801,갈천,강원도
648,NAI2591301,강원대(삼척),강원도
649,NAI2591801,원당,강원도
650,NAI2592201,홈플러스(삼척),강원도
651,NAI2592701,정미소,강원도
652,NAI2592901,삼척,강원도
653,NAI2593601,근덕,강원도
654,NAI2593801,장호,강원도
655,NAI2594201,감나무골,강원도
656,NAI2594202,서하리,강원도
657,NAI2594203,고무능교,강원도
658,NAI2594204,장광,강원도
659,NAI2594301,마차역,강원도
660,NAI2594302,안의리,강원도
661,NAI2594303,신기(삼척),강원도
662,NAI2594401,발리,강원도
663,NAI2594501,하고사리,강원도
664,NAI2594601,늑구,강원도
665,NAI2594701,도계,강원도
666,NAI2594702,마교,강원도
667,NAI2594901,강원대(도계),강원도
668,NAI2595101,광업소,강원도
669,NAI2595103,흥전,강원도
670,NAI2595201,신리,강원도
671,NAI2595202,나한정,강원도
672,NAI2595203,심포,강원도
673,NAI2595204,구사리,강원도
674,NAI2595301,동활,강원도
675,NAI2595302,기곡,강원도
676,NAI2595401,오저,강원도
677,NAI2595402,탕곡,강원도
678,NAI2595501,풍곡,강원도
679,NAI2595601,임원,강원도
680,NAI2595901,축천,강원도
681,NAI2596001,노경,강원도
682,NAI2596101,호산,강원도
683,NAI2600001,조탄,강원도
684,NAI2600002,하사미분교,강원도
685,NAI2600003,하사미,강원도
686,NAI2600101,상사미,강원도
687,NAI2600201,안창죽,강원도
688,NAI2600202,피재,강원도
689,NAI2600203,창죽,강원도
690,NAI2600701,태백,강원도
691,NAI2601001,용연,강원도
692,NAI2602501,가압장,강원도
693,NAI2602801,통리,강원도
694,NAI2423501,현대아파트(춘천),강원도
695,NAI2426001,운교,강원도
696,NAI2427601,춘천역,강원도
697,NAI2427602,소양뱃터,강원도
698,NAI2434101,춘천강원대,강원도
699,NAI2434102,춘천남부시장,강원도
700,NAI2436701,노원(춘천),강원도
701,NAI2439701,춘천교대,강원도
702,NAI2441001,당면공장,강원도
703,NAI2441002,동산,강원도
704,NAI2441605,유촌리,강원도
705,NAI2443101,아파트,강원도
706,NAI2443501,춘천,강원도
707,NAI2446001,춘천댐,강원도
708,NAI2446201,덕두원,강원도
709,NAI2446301,강촌,강원도
710,NAI2446302,안보리,강원도
711,NAI2446303,당림리,강원도
712,NAI2446401,서천2리,강원도
713,NAI2446402,서천1리,강원도
714,NAI2446403,남이섬,강원도
715,NAI2446501,남산면사무소,강원도
716,NAI2446502,전력IT단지,강원도
717,NAI2446503,당임리,강원도
718,NAI2446505,경강,강원도
719,NAI2446506,강촌유원지,강원도
720,NAI2446507,강촌역,강원도
721,NAI2446601,광판리,강원도
